Model,Accuracy,Precision,Recall,F1,ROC_AUC
Logistic Regression,0.6870071378631937,0.1595404928738262,0.6741188318227593,0.2580172679617638,0.7436564209397153
Decision Tree,0.859535307220786,0.14982844071673657,0.1583081570996979,0.15395162080109687,0.5397115796995181
Random Forest,0.5834999918703153,0.13656682270951392,0.7814702920443102,0.23250239693192715,0.740050486769016
